Sr. No.,Company,BSE Code
646,Mishra Dhatu Nigam Limited,541195
647,MOIL Limited,533286
648,EPL LIMITED,500135
649,Sharda Cropchem Limited,538666
650,Karnataka Bank Ltd.,532652
651,BALU FORGE INDUSTRIES LIMITED,531112
652,Dhanuka Agritech Ltd.,507717
653,Bajaj Electricals Ltd.,500031
654,Tamilnad Mercantile Bank Limited,543596
655,Equitas Small Finance Bank Limited,543243
656,Mahindra Holidays & Resorts India Limited,533088
657,Mahindra Lifespace Developers Ltd.,532313
658,Welspun Enterprises Limited,532553
659,H.G. Infra Engineering Limited,541019
660,Raymond Lifestyle Limited,544240
661,ETHOS LIMITED,543532
662,Diamond Power Infrastructure Limited,522163
663,Chemplast Sanmar Limited,543336
664,STERLING AND WILSON RENEWABLE ENERGY LIMITED,542760
665,Seshaasai Technologies Limited,544533
666,Electrosteel Castings Ltd.,500128
667,Surya Roshni Ltd.,500336
668,RattanIndia Power Limited,533122
669,Juniper Hotels Limited,544129
670,Shree Renuka Sugars Ltd.,532670
671,Kovai Medical Center & Hospital Ltd,523323
672,CSB Bank Limited,542867
673,Kaveri Seed Company Ltd,532899
674,Puravankara Limited,532891
675,Arvind Fashions Limited,542484
676,Lumax Auto Technologies Ltd.,532796
677,Hindustan Foods Ltd.,519126
678,V-Mart Retail Limited,534976
679,Technocraft Industries (India) Ltd.,532804
680,Ahluwalia Contracts (India) Ltd,532811
681,V2 Retail Limited,532867
682,MAN INFRACONSTRUCTION LIMITED,533169
683,Gokaldas Exports Ltd,532630
684,Atlanta Electricals Limited,544527
685,Thangamayil Jewellery Limited,533158
686,Apollo Micro Systems Limited,540879
687,JK Paper Ltd.,532162
688,ICRA Limited,532835
689,Sunteck Realty Ltd,512179
690,Rallis India Ltd,500355
691,Greenlam Industries Ltd,538979
692,KNR Constructions Limited,532942
693,Pearl Global Industries Limited,532808
694,Texmaco Rail & Engineering Limited,533326
695,Suprajit Engineering Ltd.,532509
696,Gulf Oil Lubricants India Limited,538567
697,FISCHER MEDICAL VENTURES LIMITED,524743
698,Route Mobile Limited,543228
699,eMudhra Limited,543533
700,IFB Industries Limited,505726
701,Bansal Wire Industries Limited,544209
702,CRIZAC LIMITED,544439
703,INOX GREEN ENERGY SERVICES LIMITED,543667
704,Senco Gold Limited,543936
705,RateGain Travel Technologies Limited,543417
706,ORIENT CEMENT LIMITED,535754
707,YATHARTH HOSPITAL & TRAUMA CARE SERVICES LIMITED,543950
708,Avalon Technologies Limited,543896
709,Shoppers Stop Ltd,532638
710,Paras Defence and Space Technologies Limited,543367
711,GHCL Ltd.,500171
712,Thyrocare Technologies Limited,539871
713,Rajesh Exports Ltd.,531500
714,Piccadily Agro Industries ltd.,530305
715,Unimech Aerospace and Manufacturing Limited,544322
716,TVS Supply Chain Solutions Limited,543965
717,Saatvik Green Energy Limited,544526
718,Indo Count Industries Ltd,521016
719,Websol Energy System Limited,517498
720,Sharda Motor Industries Ltd,535602
721,Skipper Limited,538562
722,V.I.P. Industries Ltd.,507880
723,Pricol Limited,540293
724,Supriya Lifescience Limited,543434
725,Aditya Vision Limited,540205
726,Ashoka Buildcon Limited,533271
